BLUE PLAQUE DATABASE - NOKIA MAPS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Version #  >>,,25,   Please update the version number everytime an updated doc is sent to PaperSeven,,,,,,,,,,,,,,
Shared plaque,,,,,,,,,,,,,,,,,
Example Dataset,,,,,,,,,,,,,,,,,
Number,Plaque Subject Title,Plaque Subject Forenames,Plaque Subject Surname,Plaque Subject Birth/Death,Plaque Address Line 1,Plaque Address Line 2,Plaque GPS Reference,Plaque GPS Reference,Plaque Category 1,Plaque Category 2,Plaque Information 1,Plaque information 2,Plaque Info,Plaque More Info,,,
7,,John Logie,Baird,1888-1946,22 Frith Street,Soho,51.5145,-0.132377,Science & Engineering,,Pioneer,Inventor,In 1926 in this house John Logie Baird 1888-1946 first demonstrated television.,http://en.wikipedia.org/wiki/John_Logie_Baird,"John Logie Baird (1888-1946) was a Scottish engineer who is most famous for inventing television. Baird showed ingenuity from an early age, rigging a telephone exchange from his bedroom to communicate with friends from across the street. In the early 1920s Baird made his major breakthrough with transmitting moving images-initially just  silhouettes- but he soon managed  grey, tonal images.  In 1926,  on the top floor of this house in Frith Street he first demonstrated this type of transmission to members of the Royal Institution, and a reporter from the Times newspaper. Baird went on to make major contributions to the development of colour television and broadcasting. ",,
8,,Anna,Freud,1895-1982,20 Maresfield Gardens,Hampstead,51.5483,-0.177694,Science & Engineering,,Pioneer,Psychoanalyst,Anna Freud (1895-1982) Pioneer of Child Psychoanalysis lived here 1938-1982,http://en.wikipedia.org/wiki/Anna_Freud,"Anna Freud (1895–1982) was the sixth and last child of Sigmund and Martha Freud. Born in Vienna, she followed the path of her father and contributed much to the fledgling field of psychoanalysis. Alongside Melanie Klein, she may be considered the founder of psychoanalytic child psychology. Anna moved to Hampstead in 1938 after fleeing Austria, and the harassment of Jews by the Nazis. Much of her important work with children occurred during and immediately after the Second World War, when she observed the effects of stress and lack of parental care on children. ",,
9,,Richard,Burton,1925-1984,6 Lyndhurst Road,Hampstead,51.552439,-0.173083,Arts,,Actor,,Richard Burton (1925-1984) Actor lived here 1949-1956,http://en.wikipedia.org/wiki/Richard_Burton,"Richard Burton (1925-1984) was a Welsh actor who appeared in over seventy films, and was nominated for seven Academy Awards. Born into a working class mining family, he began smoking and drinking at a very young age, both of  which he was notorious for throughout his life. He was a gifted soprano singer and actor and mentored by his schoolmaster, was encouraged to pursue acting as a career. Burton lived in this house while appearing in several British films and stage productions. In 1952 successfully made the transition to Hollywood, becoming for a time its most highly paid actor. In 1963 he appeared with Elizabeth Taylor in Cleopatra, to whom he was famously twice married. ",,
10,,John,Lennon,1940-1980,34 Montagu Square,Marylebone,51.5187,-0.159858,Arts,,Musician,Songwriter,John Lennon (1940-1980) Musician and Songwriter lived here in 1968,http://en.wikipedia.org/wiki/John_lennon,"John Lennon (1940-1980) was an English musician and songwriter, who rose to worldwide fame in the 1960s as a member of the Beatles, and then as a solo artist in the 1970s.  He is considered to be one of the greatest songwriters of all time, penning some of the most successful pop songs with fellow Beatle Paul McCartney. As well as enjoying immense success as a musician, Lennon also made a significant impact on the anti-war campaign during the Vietnam war. Lennon lived in his house on Montagu Square in 1968, the same year that the Beatles recorded The White Album, following a highly influential visit to Maharishi Mahesh Yogi in India. He was killed by a fan outside his New York apartment in 1980.",,
11,Sir,Henry,Wood,1869-1944,4 Elsworthy Road,Belsize Park,51.5422,-0.162639,Arts,,Musician,,Sir Henry Wood (1869-1944) Musician lived here ,http://en.wikipedia.org/wiki/Sir_Henry_Wood,"Sir Henry Joseph Wood (1869-1944) was an English conductor best known for his association with London's annual season of classical concerts. Began in 1895, they were to be a season of informal indoor recitals in the style of outdoor 'promenade concerts', where the audience was free to stroll around- the aim being to introduce classical and modern music to a completely new crowd. Wood was appointed as its first conductor, and continued to be for nearly 50 years,  introducing hundreds of new works to British audiences. After his death, the concerts were officially renamed 'The Henry Wood Promenade Concerts' in his honour, but are still commonly referred to as 'The Proms'.",,
12,,Ralph,Vaughan Williams,1872-1958,10 Hanover Terrace,Regent's Park,51.5277,-0.162681,Arts,,Composer,,Ralph Vaughan Williams O.M. (1872-1958)Composer lived here from 1953 until his death,http://en.wikipedia.org/wiki/Ralph_Vaughan_Williams,"Ralph Vaughan Williams (1872-1958) was an English composer of symphonies, chamber music, opera, choral music, and film scores. Educated at Cambridge, and later a pupil of the Royal College of Music, Williams made a considerable contribution to English music. His greatest achievement is considered to be the work for 'The English Hymnal' a collection of hymns in the English language. He also toured the British countryside collecting traditional folk songs and carols, many of which were passed on verbally and otherwise not recorded, so saving many from being lost forever. Williams lived in the house on Hanover Terrace from 1953 until his death five years later. ",,
13,,David Edward,Hughes,1831-1900,94 Great Portland,Fitzrovia,51.5159,-0.140856,Science & Engineering,,Scientist,Inventor,David Edward Hughes (1831-1900) Scientist and inventor of the microphone lived and worked here,http://en.wikipedia.org/wiki/David_Edward_Hughes,"David Edward Hughes (1831-1900) was a British scientist, inventor and musician. He was responsible for some of the most important inventions of the modern age, including the international standard Hughes' Telegraph System. He was the inventor of crystal radio, spark-gap technology and his  pioneering radio work was later built upon by Marconi & Hertz, amongst others. He is best know for inventing the microphone, and which he used in many of his studies and discoveries in the field of radio technology.",,
14,Sir,George,Cayley,1773-1857,20 Hertford Street,Mayfair,51.5055,-0.14917,Science & Engineering,,Scientist,Pioneer,Sir George Cayley (1773-1857) Scientist and pioneer of aviation lived here ,http://en.wikipedia.org/wiki/George_Cayley,"Sir George Cayley (1773-1857) was a prolific English engineer and a pioneer of aeronautics- he is known as the father of Aerodynamics. Cayley designed the first ever glider to successfully carry a human aloft and discovered and identified the aerodynamic forces of flight: weight, lift, drag and thrust. His findings were key to the Wright Brothers later success. Modern aeroplane design is based on all of those principles, as well as his invention, cambered wings. ",,
15,,"Ada, Countess of Lovelace",King,1815-1852,12 St James's Square,St James's,51.5074,-0.13628,Science & Engineering,,Pioneer,Computing,Ada Countess of Lovelace 1815-1852 Pioneer of Computing lived here,http://en.wikipedia.org/wiki/Ada_Lovelace,"Augusta Ada King, Countess of Lovelace (1815 – 1852) was born Augusta Ada Byron, daughter of poet Lord Byron. She was known chiefly for her work on Charles Babbage's early mechanical computer, the Analytical Engine. She was a skilled mathematician, and Babbage called her 'an enchantress of numbers'. Her notes on the engine include what is recognised as the first algorithm intended to be processed by a machine; she is considered to be the world's first computer programmer.",,
16,,Guglielmo,Marconi,1874-1937,71 Hereford Road,Bayswater,51.5165,-0.19433,Science & Engineering,,Pioneer,Communication,Guglielmo Marconi (1874-1937) The pioneer of wireless communication lived here in 1896-1897,http://en.wikipedia.org/wiki/Guglielmo_Marconi,"Guglielmo Marconi (1874-1937) was an Italian inventor and  businessman. Marconi is often credited as the inventor of radio, commercialising earlier experimentations and ideas of others. He had many successes but it was the transmission of radio signal across the Atlantic for which Marconi is known as a true innovator. Dismissed in Italy, he came to London in 1896 to seek support for his work, so meeting the chief electrical engineer of the Post Office, William Preece- who became one of his most ardent supporters. He lived in this house with his mother during this time.",,
17,,Eleanor,Rathbone,1872-1946,"Tufton Court, Tufton Street",Westminster,51.4963,-0.128402,Politics,,Pioneer,Family Allowances,Eleanor Rathbone (1872-1946) Pioneer of Family Allowances lived here,http://en.wikipedia.org/wiki/Eleanor_Rathbone,"Eleanor Rathbone (1872-1946) was an independent British Member of Parliament and long-term campaigner for women's rights. Her early life focused on women's political and social rights- including campaigning for an allowance to be paid directly to mothers- which was heavily influenced by her research into the lives of the poor in Liverpool. After WW1 Rathbone continued her lobbying for social reform and grew increasingly- and publicly- concerned with international developments, notably the Spanish Civil War and the nature of Nazi Germany.  Rathbone was instrumental in the introduction of the Family Allowances Act of 1945, which became law just a year before her death.  ",,
18,,William,Smith,1756-1835,16 Queen Anne's Gate,Westminster,51.5006,-0.132459,Politics,,Pioneer,Religious liberty,William Smith (1756-1835) Pioneer of religious liberty lived here,http://en.wikipedia.org/wiki/William_Smith_(abolitionist),"William Smith (1756 – 1835) was a leading independent British politician, and was a Member of Parliament (MP) for several constituencies. He was an English Dissenter- religious groups which broke away from the Church of England- and was instrumental in bringing political rights to those groups. He was a friend and close associate of William Wilberforce and a member of the Clapham Sect of social reformers, and was in the forefront of many of their campaigns for social justice, prison reform and philanthropic endeavour- most notably the abolition of slavery. He was the maternal grandfather of pioneer nurse and statistician Florence Nightingale.",,
19,,Alan,Turing ,1912-1954,2 Warrington Crescent,Maida Vale,51.5242,-0.1842,Science & Engineering,,Pioneer,Computing,Alan Turing (1912-1954) Code-breaker and Pioneer of Computer Science was born here,http://en.wikipedia.org/wiki/Alan_turing,"Alan Mathison Turing (1912 – 1954) was an English mathematician, logician, cryptanalyst, and computer scientist; he  is widely considered to be the father of computer science and artificial intelligence. His 'Turing' machine played a significant role in the creation of the modern computer; his work at Bletchley Park during World War Two was critical to the breaking of the German Enigma Code, a key step to winning the war. In 1952-when homosexuality was still illegal-Turing was charged with 'gross indecency', when his relationship with another man became known. Avoiding prison by accepting a course of chemical castration, he died two years later by ingesting Cyanide. In 2009 he received a posthumous public apology from the British Government for his ill-treatment.",,
20,,George Frideric,Handel,1685-1759,25 Brook Street,Mayfair,51.5131,-0.145955,Arts,,Composer,,George Frideric Handel (1685-1759) Composer lived in this house from 1723 and died here,http://en.wikipedia.org/wiki/Handel,"George Frederic Handel (1685-1759) was a German-British Baroque composer, famous for his operas, oratorios, anthems and organ concertos- he is regarded as one of the greatest composers of all time. His early career was dominated by Italian opera, but it is his English choral work for which he is perhaps best known. These include 'Messiah' and 'Zadok the Priest'. Handel moved to this house in 1723 which he rented for the rest of his life, and which is now a museum to his life and work. ",,
21,,Jimi,Hendrix,1942-1970,23 Brook Street,Mayfair,51.5131,-0.146084,Arts,,Guitarist,Songwriter,Jimi Hendrix (1942-1970) Guitarist and songwriter lived here 1968-1969,http://en.wikipedia.org/wiki/Jimi_hendrix,"James Marshall 'Jimi' Hendrix (1942-1970) was an American guitarist and singer-songwriter. He is widely considered to be the greatest electric guitarist in music history, and one of the most influential musicians of his era. Hendrix, along with his friend Eric Clapton, was a pioneer of performance and music production, popularising the use of the wah-wah pedal in mainstream rock and the technique of guitar amplifier feedback. Hendrix gained an early and enthusiastic following in London; he lived in a flat here in Brook Street in 1969 with girlfriend Kathy Etchingham.",,
22,,Wolfgang Amadeus,Mozart ,1756-1791,20 Frith Street,Soho,51.5135,-0.131484,Arts,,Composer,,"In a house on this site in 1764-5 Wolfgang Amadeus Mozart 1756-1791 lived, played and composed",http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,"Wolfgang Amadeus Mozart (1756-1791) was an Austrian composer, widely recognised as one of the greatest in the history of Western Classical music.  Mozart showed prodigious talent from an early age, touring the Royal Courts of Europe as a child prodigy; he began composing at the age of five. Mozart travelled to London in 1764-5 where he met Johann Christian Bach (youngest son of J S Bach) who was to prove a key influence. Mozart composed over 600 works in many musical genres, including the The Magic Flute.",,
23,,Henry John,"Temple, Lord Palmerston",1784-1865,94 Piccadilly,Mayfair,51.5058,-0.14485,Politics,,Prime Minister,,In this house formerly a Royal residence lived Lord Palmerston (1784-1865) Prime Minister and Foreign Secretary,http://en.wikipedia.org/wiki/Lord_Palmerston,"Henry John Temple, 3rd Viscount Palmerston (1784-1865) known popularly as Lord Palmerston was a British statesman who served twice as Prime Minister in the mid-19th century. Nicknamed 'The Mongoose' he was in office almost continuously from 1807 until his death in 1865, beginning his career as a Tory and ending it as a Liberal. He was a great social reformer, but he is best remembered for his direction of British foreign policy, particularly his attempts to abolish the Slave Trade, when Britain was at the height of its power. He was the most recent British Prime Minister to die in office. ",,
24,,Samuel,Morse,1791-1872,141 Cleveland Street,Fitzrovia,51.5229,-0.141636,Arts,Science & Engineering,Painter,Inventor,"Samuel Morse 1791-1872 American painter, and inventor of the Morse Code lived here 1812-1815 ",http://en.wikipedia.org/wiki/Samuel_Morse,"Samuel Finley Breese Morse (1791-1872) was an American painter and inventor. He co-invented Morse code, and was a key contributer in the development of long-range telegraph systems. In 1825, away from home on a painting commission, he was told of his wife's ill health by horse messenger, (at the time the fastest way to carry news). Returning too late, he was heartbroken to learn of her lonely death. He gave up painting, and began to pursue a means of rapid long distance communication. Morse developed a code to be transmitted as a series of dots and dashes,  plus the concept of a single-wire telegraph, to transmit the code. Morse's code was the forerunner to international version still in use today.",,
25,,Edith,Cavell,1865-1915,"London Hospital, Whitechapel Road",Whitechapel,51.519,-0.059922,Science & Engineering,,Pioneer,Medicine,Edith Cavell 1865-1915 Pioneer of Modern Nursing in Belgium and Heroine of the Great War trained and worked here 1896-1901,http://en.wikipedia.org/wiki/Edith_Cavell,"Edith Cavell (1865-1915) was a British nurse and patriot, and was a pioneer of modern nursing in Belgium. During WW1, whilst working as a Red Cross nurse in German-occupied Brussels, Cavell helped over 200 Allied soldiers escape to neutral Holland, from where many returned to Britain. Tricked into confessing, she was arrested by the German forces, tried for treason, and sentenced to death by firing squad, despite great international condemnation. Following her death Cavell has been celebrated as a heroine of the war, and for acting without distinction, nursing wounded soldiers of all sides.  It was here at the former London Hospital that Cavell trained as a nurse. ",,
26,,Joseph,Priestley,1733-1804,Ram Place,Hackney,51.5468,-0.050125,Science & Engineering,Politics,Scientist,Philosopher,"Jospeh Priestley 1733-1804 Scientist, Philosopher and Theologian was Minister to the Gravel Pit Meeting here in 1793-1794 ",http://en.wikipedia.org/wiki/Joseph_Priestley,"Joseph Priestley (1733-1804) was an eighteenth century English Dissenting clergyman, theologian, natural philosopher and scientist. He is best known for his discovery in 1774 of oxygen gas, (simultaneously with Antoine Lavoisier but for which he is generally credited). Priestly also invented soda water, and conducted extensive research into electricity. He wrote several papers combining his scientific findings with his religious beliefs, in an attempt to fuse ideas of Enlightenment rationalism with Christian theism. His views were highly controversial and angry mobs forced him to flee overseas, to the USA.",,
27,,Rudyard,Kipling,1865-1936,43 Villiers Street,Charing Cross,51.5081,-0.123676,Arts,,Poet,Writer,Rudyard Kipling (1865-1936) poet and story writer lived here 1889-1891,http://en.wikipedia.org/wiki/Rudyard_Kipling,"Rudyard Kipling (1865-1936) was an English poet and writer. He is chiefly known for his works of fiction including 'The Jungle Book' and the 'Just So Stories', and is regarded as a major innovator in the art of the short story. Kipling was one of the most popular writers in England at the turn of the 20th  Century, and in 1907 became the youngest recipient of the Nobel Prize in Literature. He travelled widely, spending two years at this house in Charing Cross, and where he wrote novels, and stories for several magazines. He was also married in London, in 1892.",,
28,,William,Daniell,1769-1837,135 St Pancras Way,Camden,51.5423,-0.136459,Arts,,Artist,,William Daniell (1769-1837) Artist and engraver of Indian scenes lived and died here ,http://en.wikipedia.org/wiki/William_Daniell,"William Daniell RA (1769–1837) was an English landscape and marine painter, and engraver. He travelled extensively in the Far East, producing one of the finest illustrated volumes of the period entitled 'Oriental Scenery'. He also toured the British coastline painting watercolours for the equally ambitious book 'A Voyage Round Great Britain'. His work was much exhibited and in 1822 he became a Royal Academician. Daniell excelled in transferring his pictures to prints using the aquatint technique, which he spent many years  perfecting, and published several successful editions of his works. In 1962 several of his  original plates were re-discovered, and which now belong to the Tate Galleries.",,
29,Captain,Matthew,Flinders R.N. ,1774-1814,56 Fitzroy Street,Fitzrovia,51.5235,-0.139898,Explorer,,Explorer,Navigator,"Captain Matthew Flinders, R.N. 1774-1814) Explorer and Navigator lived here ",http://en.wikipedia.org/wiki/Matthew_Flinders,"Captain Matthew Flinders (1774-1814) was one of the most successful navigators and cartographers of his age. Inspired by Daniel Defoe's 'Robinson Crusoe' Flinders was the first explorer to circumnavigate Australia, and encouraged the use of that name for the continent, which was previously known as New Holland. Flinders also invented the iron bars commonly used to compensate for the magnetic deviations on board ships; they are now known as Flinders Bars. ",,
30,,John,Harrison,1693-1776,"Summit House, Red Lion Square",Holborn,51.5188,-0.1186,Science & Engineering,,Inventor,,John Harrison 1693-1776 inventor of the Marine Chronometer lived and died in a house on this site,http://en.wikipedia.org/wiki/John_Harrison,"John Harrison (1693-1776) was a self-educated carpenter and later a clockmaker. He is most famous for his invention in 1737 of the first reliable marine chronometer. This long-sought device solved the problem of establishing the East-West position (or longitude) of a ship at sea, so revolutionising marine travel in the eighteenth century by safely extending the distances ships could travel, whilst staying on course. Harrison spent his last years in this house in Red Lion Square and is buried in the graveyard of St John's Church, Hampstead.",,
31,,Thomas,Earnshaw,1749-1829,119 High Holborn,Holborn,51.5176,-0.12,Science & Engineering,,Inventor,,Site of the business premises of Thomas Earnshaw 1749-1829 noted watch and chronometer maker,http://en.wikipedia.org/wiki/Thomas_Earnshaw,"Thomas Earnshaw (1749-1829) was an English watchmaker, who is known as a pioneer of Chronometer development. It was Earnshaw who further simplified the production process of the marine chronometer (a device used to measure the east-west position of a ship at sea), making them more affordable, and so available to the general public. An Earnshaw chronometer was used aboard HMS Beagle, during Charles Darwin's 5-year voyage which inspired his theory of evolution. ",,
32,,John Desmond,Bernal,1901-1971,44 Albert Street,Camden,51.5342,-0.141498,Science & Engineering,,Inventor,Crystallographer,John Desmond Bernal 1901-1971 Crystallographer lived and died here ,http://en.wikipedia.org/wiki/John_Desmond_Bernal,"John Desmond Bernal (1901-1971) was a British writer, political activist, and physicist best known for his major contributions to X-ray crystallography. At Cambridge University Bernal initiated a research program of X-ray investigations into the structure of complex biological molecules, that resulted in Nobel-level discoveries by his students and co-workers. Bernal also made a significant contributions to the Normandy landings of WWII, comprehensively mapping the coast line, and helping to design an artifical harbour called a Mulberry, which were used extensively in the landings.",,
33,,Charles,Darwin,1809-1882,"Biological Sciences Building, University College, (site of 110) Gower Street",Bloomsbury,51.5232,-0.133421,Science & Engineering,,Naturalist,Science,Charles Darwin 1809-1882 Naturalist lived in a house on this site 1838-1842,http://en.wikipedia.org/wiki/Charles_Darwin,"Charles Robert Darwin (1809-1882) was an English naturalist, and one of the most influential figures in human history. Darwin established that all species of life have descended from common ancestry, proposing the scientific theory of natural selection. He published his theory as 'On The Origin Of Species' in 1859, which is considered the foundation of evolutionary biology. Darwin lived in a house formerly on this site, from 1838-1842; a time when he first conceived his theory, following his 5-year voyage aboard the HMS Beagle. ",,
34,,August Wilhelm,Hofmann,1818-1892,9 Fitzroy Square,Fitzrovia,51.5234,-0.140026,Science & Engineering,,Chemistry,,A.W. Hofmann 1818-1892 Professor of Chemistry lived here ,http://en.wikipedia.org/wiki/August_Wilhelm_von_Hofmann,"August Wilhelm von Hofmann (1818-1892) was a German chemist. In 1845 Hofmann was appointed the first director of a new school of practical chemistry; it was known as the Royal College of Chemistry and eventually became part of Imperial College London. As well as his considerable contribution to chemistry, Hofmann was the first to introduce molecular models into public lectures around 1860, and his colour scheme is still in use by some chemists today: carbon = black, hydrogen = white, nitrogen = blue, oxygen = red, chlorine = green, and sulphur = yellow. ",,
35,,Augustus,Siebe,1788-1872,5 Denmark Street,St Giles,51.5153,-0.129434,Science & Engineering,,Pioneer,inventor,Augustus Siebe  1788-1872 Pioneer of the Diving Helmet lived and worked here,http://en.wikipedia.org/wiki/Augustus_Siebe,"Augustus Siebe (1788-1872) was a German-born British engineer known chiefly for his contributions to the diving industry. Siebe moved to London in 1816 where he became in turn a watchmaker, gun maker, instrument maker and finally a mechanical engineer. After being approached in 1830 by the Deane Brothers (inventors of the smoke helmet), Siebe began designing and building diving equipment, producing a helmet fitted to a full length watertight canvas diving suit. This design became standard diving dress which revolutionised underwater civil engineering and  salvage, and commercial and naval diving. He lived and worked at 5 Denmark St.",,
36,,Ebenezer,Howard,1850-1928,50 Durley Road,Stamford Hill,51.5731,-0.079333,Science & Engineering,,Pioneer,,Ebenezer Howard 1850-1928 Pioneer of the Garden City Movement,http://en.wikipedia.org/wiki/Ebenezer_Howard,"Sir Ebenezer Howard (1850-1928) is best known for his 1898 publication (re- printed in 1902 as 'Garden Cities of To-morrow') where he describes a utopian city of people living harmoniously together with nature. Howard's vision was of a self-sufficient city of 32,000 people, on a site of 6000 hectares. It was planned on a concentric pattern with open spaces, public parks and six radial boulevards extending from the centre. The publication resulted in the founding of the garden city movement, that realised several garden cities in Great Britain following the passing of the New Towns Act in 1946. The movement was also greatly influencial in America. ",,
37,,Frances Mary,Buss,1827-1894,"Camden School for Girls, Sandall Road",Kentish Town,51.5462,-0.134283,Politics,,Pioneer,Education,Frances Mary Buss 1827-1898 Pioneer of Education of Women was Headmistress here 1879-1894,http://en.wikipedia.org/wiki/Frances_Mary_Buss,"Frances Mary Buss (1827-1894) was an English pioneer of women's education. Buss was at the forefront of campaigns for the endowment of girls' schools, for girls to be allowed to sit public examinations, to enter universities, and for women's rights to vote. The daughter of Robert William Buss and Frances Fleetwood, Buss attended a local free school where she began teaching at the age of fourteen. Buss established the North London Collegiate School for Girls in 1850, followed by Camden School for Girls in 1871, where she was headmistress until her death in 1894. ",,
38,,George,Orwell,1903-1950,50 Lawford Road,Kentish Town,51.5463,-0.135934,Arts,Politics,Novelist,Politicial Essayist,George Orwell (1903-1950) Novelist and political essayist lived here,http://en.wikipedia.org/wiki/George_Orwell,"Eric Arthur Blair (1903-1950) better known by his pen name George Orwell, was an English novelist and journalist. Considered perhaps the 20th century's best chronicler of English culture, Orwell wrote literary criticism, poetry, fiction and polemical journalism. He is best known for the dystopian novel Nineteen Eighty-Four (1949) and the allegorical novella Animal Farm (1945), which together have sold more copies than any two books by any other 20th-century author. Orwell's influence on popular and political culture endures, and several of his neologisms, along with the term Orwellian — a byword for totalitarian or manipulative social practices — have entered the vernacular.",,
39,,Ford Madox,Brown,1821-1893,56 Fortess Road,Kentish Town,51.5536,-0.14049,Arts,,Painter,,Ford Madox Brown 1821-1893 Painter lived here,http://en.wikipedia.org/wiki/Ford_Maddox_Brown,"Ford Madox Brown (1821-1893) was an English painter of moral and historical subjects, notable for his distinctly graphic version of the Pre-Raphaelite style. Brown's early work was greatly admired by the young Dante Gabriel Rossetti who asked Brown to tutor him. Although not a member of the Pre-Raphaelite Brotherhood, Brown remained closely linked to them. Brown's most famous painting is arguably ""Work"" which attempts to depict the totality of the mid-Victorian social experience in a single image. ",,
